path,currentColumn,suggestedColumn,problemType,bodyChange,metadataChange,visualMigration,risk
solutions/goods/old-teak-door.html,柚木生活,柚木生活,旧料事实边界,yes,review,yes,high
solutions/goods/old-teak-window.html,柚木生活,柚木生活,旧料事实边界,yes,review,yes,high
solutions/goods/reclaimed-boat-teak.html,柚木生活,柚木生活,来源与性能边界,yes,review,yes,high
solutions/goods/reclaimed-teak-flooring.html,柚木生活,柚木生活,来源与性能边界,yes,review,yes,high
solutions/goods/seaside-teak-floor.html,柚木生活,柚木生活,非真实案例误读风险,yes,review,yes,high
solutions/goods/sunroom-teak-floor.html,柚木生活,柚木生活,场景图像不足,yes,no,yes,medium
solutions/goods/teak-bedroom.html,柚木生活,柚木生活,生活场景层级单一,yes,no,yes,low
solutions/goods/teak-bench.html,柚木生活,柚木生活,物件文章节奏单一,yes,no,yes,low
solutions/goods/teak-bookcase.html,柚木生活,柚木生活,物件文章节奏单一,yes,no,yes,low
solutions/goods/teak-dining-table.html,柚木生活,柚木生活,物件文章图片不足,yes,no,yes,low
solutions/goods/teak-garden-dining.html,柚木生活,柚木生活,户外场景判断不足,yes,no,yes,medium
solutions/goods/teak-incense-holder.html,柚木生活,柚木生活,器物文章节奏单一,yes,no,yes,low
solutions/goods/teak-living-room.html,柚木生活,柚木生活,生活场景层级单一,yes,no,yes,low
solutions/goods/teak-lounge-chair.html,柚木生活,柚木生活,物件文章节奏单一,yes,no,yes,low
solutions/goods/teak-outdoor-bench.html,柚木生活,柚木生活,户外场景判断不足,yes,no,yes,medium
solutions/goods/teak-patio-furniture.html,柚木生活,柚木生活,户外场景判断不足,yes,no,yes,medium
solutions/goods/teak-pen.html,柚木生活,柚木生活,器物文章节奏单一,yes,no,yes,low
solutions/goods/teak-phone-stand.html,柚木生活,柚木生活,器物文章节奏单一,yes,no,yes,low
solutions/goods/teak-pool-deck.html,柚木生活,柚木生活,非真实案例误读风险,yes,review,yes,high
solutions/goods/teak-speaker.html,柚木生活,柚木生活,器物文章节奏单一,yes,no,yes,low
solutions/goods/teak-study-room.html,柚木生活,柚木生活,生活场景层级单一,yes,no,yes,low
solutions/goods/teak-tea-table.html,柚木生活,柚木生活,物件文章节奏单一,yes,no,yes,low
solutions/goods/teak-tray.html,柚木生活,柚木生活,器物文章节奏单一,yes,no,yes,low
solutions/goods/teak-villa-woodwork.html,柚木生活,柚木生活,非真实项目误读风险,yes,review,yes,high
solutions/goods/teak-wall-panel.html,柚木生活,柚木生活,空间边界与图片不足,yes,no,yes,medium
solutions/goods/teak-yacht-deck.html,柚木生活,柚木生活,性能与案例误读风险,yes,review,yes,high
solutions/outdoor.html,柚木生活,柚木生活,连续资料段与白卡感,yes,no,yes,medium
vendors/shanghai-zhuangxin-teak.html,特色品牌,特色品牌,旧推荐厂商语义,yes,yes,yes,high
vendors/wachen-teak.html,特色品牌,特色品牌,品牌资料不足,yes,review,yes,high
vendors/xuelianhua-teak-furniture.html,特色品牌,特色品牌,品牌资料不足,yes,review,yes,high
vendors/yixin-teak.html,特色品牌,特色品牌,品牌资料不足,yes,review,yes,high
vendors/yuebaijia-teak-flooring.html,特色品牌,特色品牌,品牌资料不足,yes,review,yes,high
vendors/zhenzang-teak-life.html,特色品牌,特色品牌,旧推荐厂商语义,yes,yes,yes,high
vendors/workshop-sample.html,特色品牌,生态合作／其他,企业样板非真实品牌,no,review,no,high
